school,dist.n,program,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,0,3078,1790,82803,0.037172566211369155,0.021617574242479138
ACORN Woodland Elementary,1,1,3940,2627,88610,0.04446450739194222,0.02964676673061731
Allendale Elementary,1,0,6889,2595,133937,0.05143462971397,0.01937478068046917
Allendale Elementary,1,1,6968,3757,109847,0.06343368503463909,0.034202117490691596
Bayview Elementary,0,0,12130,5185,192482,0.06301887968745129,0.026937583774067186
Bayview Elementary,0,1,11742,4549,155353,0.07558270519397758,0.0292817003855735
Bella Vista Elementary,1,0,8225,3850,175610,0.046836740504527075,0.021923580661693524
Bella Vista Elementary,1,1,7656,4317,134892,0.05675651632417045,0.03200338048216351
Bridges Academy,1,0,4669,3424,126095,0.03702763789206551,0.02715412982275268
Bridges Academy,1,1,6478,2049,125165,0.05175568249910119,0.016370391083769427
Brookfield Village Elementary,1,0,6769,2870,120978,0.05595232190976872,0.023723321595662022
Brookfield Village Elementary,1,1,6727,3573,98794,0.0680911796262931,0.0361661639370812
Burckhalter Elementary,1,0,5196,2265,83707,0.062073661700933015,0.027058668928524494
Burckhalter Elementary,1,1,5124,2348,75538,0.06783340835076386,0.03108369297572083
Carl Munck Elementary,1,0,5578,3762,104935,0.0531567160623243,0.03585076475913661
Carl Munck Elementary,1,1,4640,3093,70833,0.06550619061736761,0.04366608784041336
Chabot Elementary,1,0,6038,3605,188437,0.03204253941635666,0.0191310623709781
Chabot Elementary,1,1,5903,3821,166138,0.03553070339115675,0.022998952677894282
Chavez Elementary,0,0,11808,4535,198263,0.05955725475756949,0.02287365771727453
Chavez Elementary,0,1,9412,4024,146213,0.06437184108116241,0.027521492616935567
Cleveland Elementary,1,0,4094,2932,120635,0.033937082936129646,0.024304720852157336
Cleveland Elementary,1,1,4479,3505,118786,0.03770646372468136,0.02950684424090381
Collins Elementary,0,0,5702,27,100944,0.056486764938976065,2.67475035663338e-4
Collins Elementary,0,1,4883,2925,88021,0.055475397916406315,0.03323070630872178
Community United Elementary School,1,0,7843,3360,124657,0.06291664326913049,0.026953961670824745
Community United Elementary School,1,1,7100,3931,117490,0.060430674951059665,0.03345816665248106
Coronado Elementary,0,0,7561,2992,136409,0.055428893987933346,0.021934036610487578
Coronado Elementary,0,1,7096,3145,110724,0.06408728008381201,0.028403959394530543
Crocker Highlands Elementary,1,0,2935,2472,134853,0.02176443979740903,0.018331071611310094
Crocker Highlands Elementary,1,1,3794,2683,129958,0.029194047307591686,0.02064513150402438
Dover Elementary,0,0,10101,4504,217882,0.04635995630662469,0.02067173974903847
Dover Elementary,0,1,10334,4580,186682,0.0553561671719823,0.0245336990175807
Downer Elementary,0,0,11016,5531,188649,0.058394160583941604,0.02931899983567366
Downer Elementary,0,1,11149,4836,159017,0.07011200060370903,0.0304118427589503
East Oakland PRIDE Elementary,1,0,7488,4102,150702,0.049687462674682485,0.02721928043423445
East Oakland PRIDE Elementary,1,1,6895,4096,117096,0.058883309421329515,0.0349798455967753
Ellerhorst Elementary,0,0,5335,2321,118551,0.0450017292135874,0.019578071884674107
Ellerhorst Elementary,0,1,5119,3440,91224,0.05611461895992283,0.03770937472594931
Emerson Elementary,1,0,5920,3797,100253,0.0590506019769982,0.03787417832882806
Emerson Elementary,1,1,6165,4086,90152,0.06838450616736179,0.045323453722601825
EnCompass Academy,1,0,4019,2306,93572,0.042950882742700806,0.024644124310691233
EnCompass Academy,1,1,5415,3078,92443,0.05857663641379012,0.03329619332994386
Esperanza Elementary,1,0,3797,2160,106863,0.03553147487905075,0.020212795822688864
Esperanza Elementary,1,1,4744,2733,98057,0.04838002386367113,0.027871544101899917
Fairmont Elementary,0,0,7793,3673,165919,0.04696870159535677,0.02213730796352437
Fairmont Elementary,0,1,7304,3543,139250,0.0524524236983842,0.025443447037701974
Ford Elementary,0,0,7138,3196,129021,0.0553243270475349,0.024771161283822014
Ford Elementary,0,1,8007,3956,121645,0.06582268075136669,0.03252085987915656
Franklin Elementary,1,0,8315,2934,255058,0.03260042813791373,0.01150326592382909
Franklin Elementary,1,1,9358,4208,211944,0.04415317253614162,0.019854301136149173
Fred T. Korematsu Discovery Academy,1,0,6304,5620,128798,0.048944859392226585,0.04363421792263855
Fred T. Korematsu Discovery Academy,1,1,6530,4597,117330,0.05565499019858519,0.039180090343475665
Fruitvale Elementary,1,0,7425,4912,148924,0.049857645510461714,0.03298326663264484
Fruitvale Elementary,1,1,7688,2840,110108,0.06982235623206307,0.025792857921313618
Futures Elementary,1,0,7175,2732,108958,0.06585106187705354,0.025073881679179132
Futures Elementary,1,1,7825,3406,91637,0.08539127208442004,0.037168392679812735
Garfield Elementary,1,0,7455,1800,186445,0.03998498216632251,0.009654321649816297
Garfield Elementary,1,1,7278,2938,175148,0.041553429099961174,0.0167743850914655
Glenview Elementary,1,0,4357,3196,151173,0.028821284224034717,0.02114134137709776
Glenview Elementary,1,1,5413,4413,129834,0.04169169863055902,0.03398955589444983
Global Family School,1,0,4772,3013,129212,0.036931554344797696,0.02331826765315915
Global Family School,1,1,5219,3502,127882,0.0408110601961183,0.027384620196743873
Grant Elementary,0,0,10634,4112,173440,0.061312269372693726,0.02370848708487085
Grant Elementary,0,1,10062,5115,138648,0.07257226934395015,0.0368919854595811
Grass Valley Elementary,1,0,3644,2202,83945,0.04340937518613378,0.026231461075704322
Grass Valley Elementary,1,1,4033,3162,81078,0.04974222353782777,0.038999481980315255
Hanna Ranch Elementary,0,0,5974,4132,156814,0.0380960883594577,0.026349688165597455
Hanna Ranch Elementary,0,1,5642,4902,138555,0.040720291580960626,0.03537945220309625
Harding Elementary,0,0,4306,2252,99653,0.043209938486548326,0.0225984165052733
Harding Elementary,0,1,4681,3125,99671,0.04696451324858786,0.03135315186965115
Highland Elementary,0,0,7725,3844,143002,0.05402022349337771,0.026880742926672356
Highland Elementary,0,1,6954,4274,123524,0.05629675204818497,0.03460056345325605
Hoover Elementary,1,0,6389,2411,102291,0.062459062869656176,0.023570011046915175
Hoover Elementary,1,1,5875,3108,85355,0.06883017983715073,0.03641262960576416
Horace Mann Elementary,1,0,6230,2089,113288,0.05499258526940188,0.018439728832709553
Horace Mann Elementary,1,1,8072,3522,111119,0.07264284235819257,0.031695749601778275
Howard Elementary,1,0,3487,2452,63790,0.05466374039818153,0.038438626744003765
Howard Elementary,1,1,5103,2784,65703,0.07766768640701338,0.042372494406648094
International Community School,1,0,4618,3976,113179,0.04080262239461384,0.035130191996748515
International Community School,1,1,4126,2002,94970,0.04344529851532063,0.02108034116036643
Joaquin Miller Elementary,1,0,4247,3310,134711,0.0315267498571015,0.024571118913822926
Joaquin Miller Elementary,1,1,5281,3329,125896,0.041947321598779945,0.026442460443540698
Kaiser Elementary,1,0,3460,2104,90270,0.038329456076215795,0.02330785421513238
Kaiser Elementary,1,1,4029,2871,80028,0.050344879292247714,0.03587494376968061
Kensington Elementary,0,0,5062,3746,160398,0.031558996994975,0.023354405915285727
Kensington Elementary,0,1,4671,3654,130457,0.03580490123182351,0.028009229094644213
King Elementary,0,0,9974,4400,142040,0.0702196564348071,0.030977189524077728
King Elementary,0,1,9602,6194,118280,0.08118025025363544,0.05236726411903957
La Escuelita Elementary,1,0,3940,3007,91006,0.0432938487572248,0.03304177746522207
La Escuelita Elementary,1,1,4332,3062,89084,0.048628260967177046,0.03437205334291231
Lafayette Elementary,1,0,7197,1810,96364,0.07468556722427462,0.018782947988875514
Lafayette Elementary,1,1,4615,2324,59664,0.07734982569053366,0.0389514615178332
Lake Elementary,0,0,6312,3093,116987,0.053954712916819816,0.02643883508424013
Lake Elementary,0,1,6561,3699,104695,0.06266774917617841,0.03533120015282487
Laurel Elementary,1,0,7578,5106,172811,0.043851375201810074,0.029546730242866484
Laurel Elementary,1,1,8597,5691,153186,0.056121316569399296,0.03715091457443891
Lincoln Elementary,0,0,7650,3507,128789,0.05939948287509027,0.027230586463129616
Lincoln Elementary,0,1,9169,4663,111226,0.08243576142268894,0.041923650944922945
Lincoln Elementary,1,0,3737,3111,229869,0.016257085557426183,0.01353379533560419
Lincoln Elementary,1,1,4089,3211,214112,0.01909748169182484,0.014996824092063965
Lupine Hills Elementary,0,0,6344,3245,133717,0.047443481382322364,0.024267669780207453
Lupine Hills Elementary,0,1,6592,3807,117596,0.0560563284465458,0.03237355012075241
Madera Elementary,0,0,5266,3563,158169,0.033293502519457036,0.022526538070039008
Madera Elementary,0,1,4545,3081,127017,0.03578261177637639,0.024256595573820827
Madison Park Lower Campus,1,0,4245,1445,77709,0.05462687719569162,0.018595014734458043
Madison Park Lower Campus,1,1,5505,2933,81262,0.06774384090965027,0.03609313086067288
Manzanita Community School,1,0,5806,2307,107212,0.05415438570309294,0.02151811364399507
Manzanita Community School,1,1,7635,2628,113507,0.06726457399103139,0.02315275709868114
Manzanita SEED Elementary,1,0,4687,2188,105132,0.04458204923334475,0.020811931666856905
Manzanita SEED Elementary,1,1,7005,4255,120343,0.05820862036013728,0.03535727046857732
Markham Elementary,1,0,7758,4743,115214,0.06733556685819432,0.04116687208151787
Markham Elementary,1,1,8260,3695,107828,0.07660347961568424,0.03426753718885633
Martin Luther King Jr Elementary,1,0,7570,3603,101955,0.07424844294051297,0.035339120200088274
Martin Luther King Jr Elementary,1,1,8417,4580,90112,0.09340598366477272,0.050825639204545456
Montalvin Elementary,0,0,6008,1545,116613,0.051520842444667404,0.013248951660621035
Montalvin Elementary,0,1,6465,6023,112261,0.05758901132183038,0.053651757956904
Montclair Elementary,1,0,5224,3894,163474,0.03195615204864382,0.023820301699352803
Montclair Elementary,1,1,6442,4616,176471,0.03650458148930986,0.026157272299697967
Murphy Elementary,0,0,8351,4921,134668,0.062011762259779606,0.036541717408738524
Murphy Elementary,0,1,7809,4611,125131,0.06240659788541608,0.03684938184782348
New Highland Academy,1,0,5030,2405,98273,0.05118394676055478,0.024472642536607206
New Highland Academy,1,1,5942,3362,105684,0.056224215586086826,0.03181181635819992
Nystrom Elementary,0,0,9894,2673,131093,0.07547313739101248,0.020390104734806586
Nystrom Elementary,0,1,12053,4624,131640,0.0915603160133698,0.03512610148890914
Ohlone Elementary,0,0,6150,3600,124427,0.04942657140331279,0.028932627162914802
Ohlone Elementary,0,1,5803,3313,107362,0.0540507814683035,0.030858217991468116
Olinda Elementary,0,0,4701,2782,95602,0.04917261145164327,0.029099809627413653
Olinda Elementary,0,1,4644,2954,88524,0.0524603497356649,0.03336948172247074
Parker Elementary,1,0,4576,2664,60193,0.07602212881896567,0.04425763793132092
Parker Elementary,1,1,5239,2493,71516,0.07325633424688181,0.034859332177414847
Peralta Elementary,1,0,3225,3089,105596,0.030540929580665933,0.029253002007651803
Peralta Elementary,1,1,3609,3460,95115,0.037943542028071285,0.0363770172948536
Peres Elementary,0,0,8299,3609,152490,0.054423240868253654,0.02366712571316152
Peres Elementary,0,1,9456,4883,137549,0.06874641037012265,0.03550007633643284
Piedmont Avenue Elementary,1,0,6452,4149,123424,0.05227508426238009,0.03361582836401348
Piedmont Avenue Elementary,1,1,6311,3878,101674,0.062070932588469026,0.03814151110411708
PLACE @ Prescott,1,0,4042,3832,63693,0.06346066286719106,0.060163597255585385
PLACE @ Prescott,1,1,5135,2883,59484,0.08632573465133482,0.048466814605608234
Reach Academy,1,0,8793,4626,110449,0.07961140435857274,0.041883584278716864
Reach Academy,1,1,9702,5004,113359,0.08558649952804806,0.04414294409795429
Redwood Heights Elementary,1,0,3975,2507,116745,0.0340485673904664,0.021474153068653905
Redwood Heights Elementary,1,1,4650,2773,106820,0.04353117393746489,0.025959558135180676
RISE Community School,1,0,7291,3523,106767,0.06828889076212687,0.032997087114932516
RISE Community School,1,1,5409,2969,81151,0.0666535224458109,0.03658611723823489
Riverside Elementary,0,0,5809,3305,119818,0.048481864160643644,0.027583501644160312
Riverside Elementary,0,1,5594,3329,100157,0.055852311870363526,0.033237816627894205
Sequoia Elementary,1,0,5738,3922,131924,0.043494739395409474,0.02972923804614778
Sequoia Elementary,1,1,5572,3582,123867,0.04498373255184997,0.028918113783332124
Shannon Elementary,0,0,6188,3630,89401,0.06921622800639814,0.040603572666972405
Shannon Elementary,0,1,5783,3283,88393,0.0654237326485129,0.0371409500752322
Sheldon Elementary,0,0,6360,2308,113758,0.05590815590991403,0.02028868299372352
Sheldon Elementary,0,1,5898,2784,96748,0.06096250051680655,0.028775788646793737
Stege Elementary,0,0,7532,3413,102891,0.07320368156592899,0.033171025648501815
Stege Elementary,0,1,7149,2023,76825,0.09305564594858445,0.02633257403189066
Tara Hills Elementary,0,0,8929,3259,158205,0.05643942985367087,0.020599854619006985
Tara Hills Elementary,0,1,8599,3794,123546,0.06960160587959141,0.030709209525197092
Think College Now,1,0,3733,2535,96428,0.038712822001908155,0.0262890446758203
Think College Now,1,1,4927,2572,90452,0.054470879582541015,0.028434971034360764
Thornhill Elementary,1,0,3277,2465,126685,0.025867308679006985,0.01945771006827959
Thornhill Elementary,1,1,4406,2638,112174,0.03927826412537665,0.0235170360333054
Valley View Elementary,0,0,6821,4794,91486,0.07455785584679624,0.0524014603327285
Valley View Elementary,0,1,9030,5503,86053,0.10493533055210161,0.06394896168640256
Verde Elementary,0,0,6414,2011,91995,0.06972118049894016,0.02185988368933094
Verde Elementary,0,1,5890,2650,83408,0.07061672741223864,0.0317715327066948
Washington Elementary,0,0,7178,3158,138184,0.05194523244369826,0.02285358652231807
Washington Elementary,0,1,8032,4580,122392,0.06562520426171645,0.0374207464540166
Wilson Elementary,0,0,8312,4484,159601,0.052079874186251963,0.028095062061014656
Wilson Elementary,0,1,7251,4266,121303,0.05977593299423758,0.03516813269251379
